2004-01,64
2004-02,59
2004-03,55
2004-04,58
2004-05,52
2004-06,43
2004-07,45
2004-08,41
2004-09,50
2004-10,53
2004-11,59
2004-12,47
2005-01,47
2005-02,47
2005-03,49
2005-04,49
2005-05,50
2005-06,42
2005-07,39
2005-08,39
2005-09,44
2005-10,47
2005-11,47
2005-12,44
2006-01,45
2006-02,43
2006-03,65
2006-04,100
2006-05,93
2006-06,48
2006-07,41
2006-08,39
2006-09,48
2006-10,51
2006-11,50
2006-12,41
2007-01,45
2007-02,48
2007-03,52
2007-04,53
2007-05,71
2007-06,66
2007-07,47
2007-08,40
2007-09,42
2007-10,49
2007-11,47
2007-12,39
2008-01,40
2008-02,41
2008-03,40
2008-04,41
2008-05,39
2008-06,30
2008-07,30
2008-08,27
2008-09,33
2008-10,38
2008-11,36
2008-12,28
2009-01,33
2009-02,36
2009-03,38
2009-04,38
2009-05,34
2009-06,31
2009-07,29
2009-08,27
2009-09,33
2009-10,34
2009-11,31
2009-12,30
2010-01,32
2010-02,33
2010-03,37
2010-04,53
2010-05,67
2010-06,37
2010-07,39
2010-08,30
2010-09,31
2010-10,33
2010-11,31
2010-12,26
2011-01,31
2011-02,31
2011-03,31
2011-04,32
2011-05,31
2011-06,29
2011-07,25
2011-08,26
2011-09,28
2011-10,32
2011-11,29
2011-12,26
2012-01,27
2012-02,27
2012-03,26
2012-04,26
2012-05,25
2012-06,30
2012-07,21
2012-08,23
2012-09,23
2012-10,26
2012-11,27
2012-12,21
2013-01,32
2013-02,35
2013-03,33
2013-04,45
2013-05,39
2013-06,40
2013-07,35
2013-08,28
2013-09,31
2013-10,35
2013-11,33
2013-12,27
2014-01,32
2014-02,32
2014-03,30
2014-04,30
2014-05,31
2014-06,30
2014-07,38
2014-08,29
2014-09,30
2014-10,28
2014-11,61
2014-12,30
2015-01,27
2015-02,31
2015-03,29
2015-04,28
2015-05,26
2015-06,23
2015-07,25
2015-08,25
2015-09,29
2015-10,28
2015-11,28
2015-12,24
2016-01,28
2016-02,29
2016-03,27
2016-04,27
2016-05,26
2016-06,24
2016-07,20
2016-08,21
2016-09,26
2016-10,26
2016-11,47
2016-12,23
2017-01,52
2017-02,83
2017-03,41
2017-04,31
2017-05,28
2017-06,23
2017-07,21
2017-08,25
2017-09,27
2017-10,27
2017-11,26
2017-12,22
2018-01,37
2018-02,35
2018-03,28
2018-04,29
2018-05,28
2018-06,59
2018-07,31
2018-08,27
2018-09,25
2018-10,31
2018-11,33
2018-12,25
2019-01,31
2019-02,29
2019-03,26
2019-04,27
2019-05,28
2019-06,29
2019-07,30
2019-08,26
2019-09,25
2019-10,26
2019-11,22
2019-12,20
